T	S1
0	0.174288
1	0.159996
2	0.144910
3	0.129110
4	0.112682
5	0.095716
6	0.078303
7	0.060537
8	0.042515
9	0.024334
10	0.006093
11	-0.012110
12	-0.030179
13	-0.048016
14	-0.065526
15	-0.082618
16	-0.099202
17	-0.115193
18	-0.130507
19	-0.145067
20	-0.158800
21	-0.171640
22	-0.183523
23	-0.194394
24	-0.204203
25	-0.212907
26	-0.220471
27	-0.226863
28	-0.232063
29	-0.236054
30	-0.238829
31	-0.240387
32	-0.240733
33	-0.239882
34	-0.237853
35	-0.234672
36	-0.230372
37	-0.224993
38	-0.218579
39	-0.211179
40	-0.202850
41	-0.193651
42	-0.183646
43	-0.172903
44	-0.161492
45	-0.149488
46	-0.136965
47	-0.124003
48	-0.110679
49	-0.097074
50	-0.083266
51	-0.069336
52	-0.055361
53	-0.165267
54	-0.172281
55	-0.176689
56	-0.178213
57	-0.176633
58	-0.171792
59	-0.163597
60	-0.152027
61	-0.137130
62	-0.119023
63	-0.097893
64	-0.073991
65	-0.047631
66	-0.019181
67	0.010939
68	0.042272
69	0.074325
70	0.106582
71	0.138512
72	0.169583
73	0.199266
74	0.227051
75	0.252453
76	0.275024
77	0.294358
78	0.310106
79	0.321974
80	0.329736
81	0.333238
82	0.332395
83	0.327202
84	0.317729
85	0.304120
86	0.286595
87	0.265440
88	0.241008
89	0.213709
90	0.184004
91	0.152398
92	0.119427
93	0.085652
94	0.051646
95	0.017987
96	-0.014757
97	-0.046036
98	-0.075328
99	-0.102150
100	-0.126064
101	-0.146691
102	-0.163709
103	-0.176869
104	-0.185990
105	-0.190972
106	-0.191787
107	-0.188489
108	-0.181207
109	-0.170145
110	-0.155575
111	-0.137836
112	-0.117325
113	-0.094490
114	-0.069819
115	-0.043837
116	-0.017087
117	0.009873
118	0.036483
119	0.062193
120	0.086471
121	0.108814
122	0.128761
123	0.145895
124	0.159856
125	0.170345
126	0.177133
127	0.180061
128	0.179046
129	0.174080
130	0.165233
131	0.152648
132	0.136542
133	0.117199
134	0.094965
135	0.070242
136	0.043478
137	0.015162
138	-0.014188
139	-0.044034
140	-0.073828
141	-0.103026
142	-0.131092
143	-0.157513
144	-0.181808
145	-0.203536
146	-0.222305
147	-0.237779
148	-0.249685
149	-0.257819
150	-0.262045
151	-0.262303
152	-0.258609
153	-0.251049
154	-0.239787
155	-0.225051
156	-0.207136
157	-0.186396
158	-0.163233
159	-0.138097
160	-0.111470
161	-0.083859
162	-0.055790
163	-0.027789
164	-0.000381
165	0.025927
166	0.050651
167	0.073342
168	0.093596
169	0.111057
170	0.125428
171	0.136477
172	0.144038
173	0.148015
174	0.148386
175	0.145203
176	0.138587
177	0.128730
178	0.115889
179	0.100381
180	0.082577
181	0.062893
182	0.041785
183	0.019737
184	-0.002747
185	-0.025155
186	-0.046974
187	-0.067703
188	-0.086863
189	-0.104002
190	-0.118710
191	-0.130626
192	-0.139442
193	-0.144910
194	-0.146850
195	-0.145153
196	-1.039587
197	-0.811872
198	-0.216708
199	0.434430
200	0.801883
201	0.699162
202	0.192432
203	-0.435034
204	-0.834422
205	-0.777986
206	-0.280992
207	0.406176
208	0.931517
209	1.029215
210	0.661392
211	0.038078
212	-0.495258
213	-0.642529
214	-0.315441
215	0.319147
216	0.928223
217	1.190434
218	0.967696
219	0.378933
220	-0.263479
221	-0.620580
222	-0.507872
223	0.006214
224	0.637018
225	1.035917
226	0.976799
227	0.477099
228	-0.211267
229	-0.736242
230	-0.833456
231	-0.467203
232	0.150762
233	0.674642
234	0.809622
235	0.469642
236	-0.176391
237	-0.794645
238	-1.064552
239	-0.849942
240	-0.271688
241	0.356955
242	0.697757
243	0.568236
244	0.039114
245	-0.603542
246	-1.011280
247	-0.959593
248	-0.468044
249	0.209976
250	0.722412
251	0.806398
252	0.428453
253	-0.197906
254	-0.726515
255	-0.863794
256	-0.525871
257	0.116351
258	0.728280
259	0.990189
260	0.767868
261	0.184173
262	-0.446735
263	-0.787336
264	-0.657141
265	-0.129130
266	0.509262
267	0.909795
268	0.849597
269	0.350383
270	-0.332969
271	-0.848397
272	-0.934532
273	-0.560092
274	0.059670
275	0.578265
276	0.703387
277	0.353384
278	-0.298824
279	-0.917859
280	-1.184815
281	-0.967403
282	-0.390415
283	0.231145
284	0.560531
285	0.419307
286	-0.117231
287	-0.760232
288	-1.161620
289	-1.100101
290	-0.599474
291	0.083971
292	0.598250
293	0.683560
294	0.310891
295	-0.302721
296	-0.810413
297	-0.921109
298	-0.555332
299	0.112030
300	0.087443
301	0.124764
302	0.160243
303	0.193382
304	0.223730
305	0.250889
306	0.274519
307	0.294349
308	0.310174
309	0.321866
310	0.329367
311	0.332698
312	0.331950
313	0.327287
314	0.318939
315	0.307197
316	0.292409
317	0.274968
318	0.255308
319	0.233893
320	0.211209
321	0.187752
322	0.164018
323	0.140495
324	0.117652
325	0.095930
326	0.075733
327	0.057420
328	0.041299
329	0.027620
330	0.016571
331	0.008272
332	0.002780
333	0.000079
334	0.000087
335	0.002656
336	0.007578
337	0.014584
338	0.023355
339	0.033528
340	0.044703
341	0.056451
342	0.068325
343	0.079869
344	0.090627
345	0.100154
346	0.108025
347	0.113845
348	0.117258
349	0.117954
350	0.115676
351	0.110229
352	0.101481
353	0.089370
354	0.073904
355	0.055164
356	0.033302
357	0.008540
358	-0.018834
359	-0.048470
360	-0.079962
361	-0.112854
362	-0.146650
363	-0.180821
364	-0.214818
365	-0.248075
366	-0.280029
367	-0.310121
368	-0.337814
369	-0.362598
370	-0.384004
371	-0.401609
372	-0.415048
373	-0.424019
374	-0.428288
375	-0.427696
376	-0.422165
377	-0.411694
378	-0.396363
379	-0.376332
380	-0.351841
381	-0.323200
382	-0.290792
383	-0.255058
384	-0.216498
385	-0.175656
386	-0.133113
387	-0.089479
388	-0.045377
389	-0.001440
390	0.041710
391	0.083462
392	0.123236
393	0.160486
394	0.194714
395	0.225477
396	0.252392
397	0.275147
398	0.293502
399	0.307295
400	0.316444
401	0.320946
402	0.320878
403	0.316395
404	0.307725
405	0.295165
406	0.279073
407	0.259867
408	0.238006
409	0.213991
410	0.188350
411	0.161628
412	0.134379
413	0.107153
414	0.080485
415	0.054889
416	0.030843
417	0.008785
418	-0.010897
419	-0.027874
420	0.155954
421	0.148650
422	0.140771
423	0.132379
424	0.123542
425	0.114327
426	0.104803
427	0.095038
428	0.085102
429	0.075064
430	0.064990
431	0.054947
432	0.045000
433	0.035210
434	0.025636
435	0.016334
436	0.007357
437	-0.001247
438	-0.009434
439	-0.017162
440	-0.024396
441	-0.031106
442	-0.037265
443	-0.042852
444	-0.047851
445	-0.052251
446	-0.056047
447	-0.059237
448	-0.061825
449	-0.063819
450	-0.065234
451	-0.066087
452	-0.066400
453	-0.066198
454	-0.065511
455	-0.064371
456	-0.062814
457	-0.060879
458	-0.058605
459	-0.056036
460	-0.053214
461	-0.050185
462	-0.046993
463	-0.043686
464	-0.040307
465	-0.036903
466	-0.033516
467	-0.030191
468	-0.026968
469	-0.023886
470	-0.020981
471	-0.018288
472	-0.015838
473	-0.013659
474	-0.011776
475	-0.010209
476	-0.008977
477	-0.008093
478	-0.007567
479	-0.007404
480	-0.007606
481	-0.008172
482	-0.009095
483	-0.010365
484	-0.011969
485	-0.013889
486	-0.016105
487	-0.018593
488	-0.021327
489	-0.024276
490	-0.027410
491	-0.030693
492	-0.034089
493	-0.037562
494	-0.041073
495	-0.044581
496	-0.048047
497	-0.051430
498	-0.054690
499	-0.057787
500	-0.060684
501	-0.063341
502	-0.065723
503	-0.067797
504	-0.069529
505	-0.070890
506	-0.071853
507	-0.072393
508	-0.072491
509	-0.072127
510	-0.071288
511	-0.069963
512	-0.068145
513	-0.065830
514	-0.063019
515	-0.059716
516	-0.055929
517	-0.051671
518	-0.046955
519	-0.041802
520	-0.036234
521	-0.030277
522	-0.023959
523	-0.017312
524	-0.010371
525	-0.003172
526	0.004245
527	0.011840
528	0.019571
529	0.027392
530	0.035261
531	0.043131
532	0.050956
533	0.058691
534	0.066290
535	0.073707
536	0.080900
537	0.087824
538	0.094438
539	0.100703
540	0.106581
541	0.112036
542	0.117036
543	0.121549
544	0.125549
545	0.129011
546	0.131914
547	0.134238
548	0.135971
549	0.137101
550	0.137619
551	0.137521
552	0.136807
553	0.135479
554	0.133544
555	0.131010
556	0.127889
557	0.124199
558	0.119956
559	0.115183
560	0.109904
561	0.104144
562	0.097933
563	0.091302
564	0.084282
565	0.076908
566	0.069216
567	0.061241
568	0.053022
569	0.044597
570	0.036004
571	0.027281
572	0.018468
573	0.009602
574	0.000722
575	-0.008135
576	-0.016932
577	-0.025635
578	-0.034210
579	-0.042623
580	-0.050843
581	-0.058840
582	-0.066587
583	-0.074057
