T	S1
0	0.190088
1	0.176797
2	0.162626
3	0.147653
4	0.131959
5	0.115628
6	0.098749
7	0.081415
8	0.063719
9	0.045758
10	0.027628
11	0.009428
12	-0.008744
13	-0.026791
14	-0.044617
15	-0.062127
16	-0.079229
17	-0.095833
18	-0.111854
19	-0.127209
20	-0.141821
21	-0.155616
22	-0.168527
23	-0.180493
24	-0.191456
25	-0.201367
26	-0.210183
27	-0.217866
28	-0.224389
29	-0.229727
30	-0.233865
31	-0.236794
32	-0.238514
33	-0.239030
34	-0.238355
35	-0.236508
36	-0.233515
37	-0.229407
38	-0.224225
39	-0.218011
40	-0.210816
41	-0.202693
42	-0.193701
43	-0.183905
44	-0.173371
45	-0.162169
46	-0.150372
47	-0.138055
48	-0.125296
49	-0.112171
50	-0.098761
51	-0.085143
52	-0.071397
53	-0.057600
54	-0.043829
55	-0.030158
56	-0.016660
57	-0.003404
58	0.009543
59	0.022117
60	0.034260
61	0.045915
62	0.057032
63	0.067565
64	0.077471
65	0.086715
66	0.095265
67	0.103094
68	0.110182
69	0.116513
70	0.122075
71	0.126865
72	0.130881
73	0.134129
74	0.136617
75	0.138360
76	0.139376
77	0.139688
78	0.139322
79	0.138307
80	0.136678
81	0.134470
82	0.131720
83	0.128471
84	0.124764
85	0.120644
86	0.116154
87	0.111342
88	0.106251
89	0.100929
90	0.095421
91	0.089772
92	0.084024
93	0.078221
94	0.072402
95	0.066607
96	0.060872
97	0.055230
98	0.049714
99	0.044351
100	0.039168
101	0.034187
102	0.029427
103	0.024906
104	0.020637
105	0.016628
106	0.012889
107	0.009421
108	-0.041634
109	-0.253090
110	0.254476
111	0.050734
112	-0.299895
113	0.179479
114	0.139636
115	-0.312487
116	0.086379
117	0.214430
118	-0.290479
119	-0.015681
120	0.570402
121	0.327726
122	-0.168443
123	-0.299965
124	-0.369971
125	0.287913
126	0.708914
127	-0.366727
128	-0.841143
129	0.282590
130	0.620125
131	0.150793
132	-0.469458
133	-0.355174
134	0.177710
135	0.375758
136	0.334261
137	-0.898238
138	-0.424864
139	0.998511
140	0.179626
141	-0.432803
142	-0.303264
143	-0.143176
144	0.353536
145	0.470024
146	-0.583514
147	-0.746730
148	0.491504
149	0.566292
