T	S1
0	0.219796
1	0.208971
2	0.197105
3	0.184263
4	0.170513
5	0.155931
6	0.140597
7	0.124595
8	0.108012
9	0.090939
10	0.073469
11	0.055697
12	0.037721
13	0.019636
14	0.001542
15	-0.016465
16	-0.034289
17	-0.051835
18	-0.069011
19	-0.085727
20	-0.101896
21	-0.117436
22	-0.132268
23	-0.146319
24	-0.159519
25	-0.171805
26	-0.183121
27	-0.193414
28	-0.202641
29	-0.210762
30	-0.217746
31	-0.223569
32	-0.228213
33	-0.191798
34	-0.491636
35	-0.098563
36	-0.070543
37	-0.482522
38	-0.225307
39	0.017117
40	-0.396567
41	-0.343704
42	0.048831
43	-0.254939
44	-0.419503
45	0.019339
46	-0.091677
47	-0.427903
48	-0.058369
49	0.055152
50	-0.360496
51	-0.156858
52	0.153287
53	-0.227897
54	-0.241989
55	0.184510
56	-0.057312
57	-0.282478
58	0.149092
59	0.114310
60	-0.258712
61	0.065287
62	0.249741
63	-0.168421
64	-0.035964
65	0.321047
66	-0.027666
67	-0.119687
68	0.316713
69	0.133128
70	-0.156547
71	0.244450
72	0.277064
73	-0.130932
74	0.128916
75	0.370469
76	-0.045287
77	0.005000
78	0.391820
79	0.080474
80	-0.091570
81	0.337489
82	0.214312
83	-0.133746
84	0.222780
85	0.320730
86	-0.110301
87	0.077958
88	0.370420
89	-0.028669
90	-0.059677
91	0.348305
92	0.087250
93	-0.155563
94	0.257795
95	0.203712
96	-0.186900
97	0.120110
98	0.286402
99	-0.148523
100	-0.031179
101	0.309839
102	-0.054067
103	-0.158926
104	0.264405
105	0.067866
106	-0.232184
107	0.159074
108	0.181521
109	-0.234351
110	0.019140
111	0.253668
112	-0.167530
113	-0.120490
114	0.262555
115	-0.051916
116	-0.224608
117	0.081861
118	-0.530263
119	-0.410262
120	0.638976
121	0.571316
122	-0.620290
123	-0.593212
124	0.393336
125	0.463046
126	-0.052166
127	-0.318355
128	-0.381340
129	0.143717
130	0.698588
131	-0.055222
132	-0.883398
133	-0.060541
134	0.773251
135	0.119869
136	-0.519171
137	-0.283854
138	0.068534
139	0.385947
140	0.279569
141	-0.565613
142	-0.613666
143	0.537498
144	0.639734
145	-0.498748
146	-0.638393
147	0.147476
148	0.359931
149	0.130792
150	-0.241780
151	-0.609083
152	-0.049814
153	0.746678
154	0.048573
155	-0.916642
156	-0.255725
157	0.590416
158	0.183325
159	-0.364472
160	-0.414877
161	-0.221410
162	0.353533
163	0.435534
164	-0.566162
165	-0.795963
166	0.369534
167	0.637114
168	-0.354657
169	-0.622044
170	-0.095751
171	0.212658
172	0.303947
173	-0.100705
174	-0.749779
175	-0.219955
176	0.774006
177	0.203029
178	-0.816201
179	-0.352458
180	0.431993
181	0.289217
182	-0.089113
183	-0.391955
184	-0.400966
185	0.374911
186	0.671906
187	-0.396280
188	-0.797583
189	0.294151
190	0.697588
191	-0.070519
192	-0.413756
193	-0.189534
194	0.150187
195	0.560071
196	0.188889
197	-0.703528
198	-0.269454
199	0.845183
200	0.441774
201	-0.552166
202	-0.311126
203	0.324608
204	0.423496
205	0.265574
206	-0.248710
207	-0.498529
208	0.392249
209	0.892619
210	-0.162474
211	-0.714877
212	0.211430
213	0.690206
214	0.191702
215	-0.173792
216	-0.276581
217	0.018963
218	0.710756
219	0.425747
220	-0.653278
221	-0.369112
222	0.773379
223	0.554582
224	-0.333032
225	-0.314107
226	0.098011
227	0.395876
228	0.494545
229	-0.167919
230	-0.666551
231	0.253239
232	0.928564
233	-0.030615
234	-0.684009
235	0.011391
236	0.501368
237	0.303648
238	-0.015641
239	-0.431672
240	-0.239978
241	0.682256
242	0.532543
243	-0.648961
244	-0.538294
245	0.543174
246	0.511091
247	-0.187317
248	-0.358380
249	-0.219881
250	0.222782
251	0.596575
252	-0.135482
253	-0.860215
254	0.008707
255	0.811786
256	0.021346
257	-0.664751
258	-0.241182
259	0.191021
260	0.298826
261	0.091337
262	-0.597058
263	-0.556282
264	0.524421
265	0.539386
266	-0.651236
267	-0.714748
268	0.219653
269	0.352994
270	-0.088003
271	-0.397128
272	-0.558304
273	-0.035510
274	0.607189
275	-0.112171
276	-1.012951
277	-0.261592
278	0.608049
279	0.044225
280	-0.592203
281	-0.449305
282	-0.135553
283	0.262501
284	0.229095
285	-0.659582
286	-0.789368
287	0.373797
288	0.569771
289	-0.525674
290	-0.730668
291	-0.007640
292	0.260028
293	0.133256
294	-0.238934
295	-0.689742
296	-0.146432
297	0.740997
298	0.117494
299	-0.881799
300	0.056150
301	0.162827
302	-0.251988
303	-0.042065
304	0.262883
305	-0.121108
306	-0.128121
307	0.296388
308	0.049014
309	-0.170051
310	0.263370
311	0.221864
312	-0.147601
313	0.181649
314	0.360042
315	-0.058041
316	0.081658
317	0.434872
318	0.082693
319	-0.002107
320	0.433673
321	0.243865
322	-0.040721
323	0.362774
324	0.387802
325	-0.018928
326	0.245479
327	0.479657
328	0.060475
329	0.115554
330	0.496496
331	0.177172
332	0.007999
333	0.433281
334	0.298638
335	-0.050416
336	0.304160
337	0.388831
338	-0.048303
339	0.138736
340	0.417929
341	0.007422
342	-0.025702
343	0.370518
344	0.093626
345	-0.153888
346	0.250017
347	0.177487
348	-0.221661
349	0.078158
350	0.225698
351	-0.221992
352	-0.110368
353	0.213873
354	-0.166366
355	-0.276694
356	0.133591
357	-0.081178
358	-0.387643
359	-0.004807
360	-0.000135
361	-0.424088
362	-0.174473
363	0.045283
364	-0.385576
365	-0.338761
366	0.034700
367	-0.290020
368	-0.460630
369	-0.035312
370	-0.168553
371	-0.512253
372	-0.150041
373	-0.056943
374	-0.482253
375	-0.280404
376	0.014106
377	-0.378662
378	-0.390681
379	0.027189
380	-0.226810
381	-0.448164
382	-0.017262
383	-0.062692
384	-0.432102
385	-0.101324
386	0.076395
387	-0.339563
388	-0.194712
389	0.161482
390	-0.186605
391	-0.263308
392	0.179245
393	-0.004438
394	-0.278765
395	0.135083
396	0.168441
397	-0.226603
398	0.051172
399	0.296043
400	-0.110590
401	-0.039981
402	0.354035
403	0.047784
404	-0.104704
405	0.335802
406	0.214631
407	-0.117583
408	0.253837
409	0.352384
410	-0.068598
411	0.136100
412	0.429591
413	0.033967
414	0.018332
415	0.429169
416	0.165608
417	-0.065609
418	0.352928
419	0.292149
420	0.167867
421	0.163256
422	0.157906
423	0.151872
424	0.145210
425	0.137979
426	0.130241
427	0.122060
428	0.113502
429	0.104632
430	0.095519
431	0.086227
432	0.076825
433	0.067378
434	0.057948
435	0.048600
436	0.039391
437	0.030381
438	0.021623
439	0.013167
440	0.005061
441	-0.002652
442	-0.009933
443	-0.016748
444	-0.023068
445	-0.028866
446	-0.034123
447	-0.038824
448	-0.042958
449	-0.046520
450	-0.049509
451	-0.051930
452	-0.053792
453	-0.055107
454	-0.055894
455	-0.056174
456	-0.055973
457	-0.055319
458	-0.054245
459	-0.052785
460	-0.050977
461	-0.048861
462	-0.046478
463	-0.043870
464	-0.041082
465	-0.038157
466	-0.035140
467	-0.032075
468	-0.029005
469	-0.025974
470	-0.023023
471	-0.020190
472	-0.017515
473	-0.015030
474	-0.012770
475	-0.010764
476	-0.009039
477	-0.007616
478	-0.006517
479	-0.005757
480	-0.005348
481	-0.005298
482	-0.005612
483	-0.006290
484	-0.007329
485	-0.008722
486	-0.010457
487	-0.012519
488	-0.014891
489	-0.017550
490	-0.020472
491	-0.023629
492	-0.026991
493	-0.030525
494	-0.034196
495	-0.037967
496	-0.041801
497	-0.045657
498	-0.049496
499	-0.053278
500	-0.056961
501	-0.060505
502	-0.063870
503	-0.067018
504	-0.069909
505	-0.072509
506	-0.074783
507	-0.076698
508	-0.078226
509	-0.079338
510	-0.080010
511	-0.080223
512	-0.079957
513	-0.079199
514	-0.077937
515	-0.076166
516	-0.073880
517	-0.071082
518	-0.067776
519	-0.063969
520	-0.059673
521	-0.054904
522	-0.049681
523	-0.044026
524	-0.037966
525	-0.031528
526	-0.024745
527	-0.017652
528	-0.010284
529	-0.002681
530	0.005115
531	0.013063
532	0.021119
533	0.029237
534	0.037373
535	0.045479
536	0.053511
537	0.061423
538	0.069168
539	0.076703
540	0.083985
541	0.090971
542	0.097622
543	0.103899
544	0.109766
545	0.115190
546	0.120139
547	0.124586
548	0.128504
549	0.131872
550	0.134671
551	0.136886
552	0.138502
553	0.139513
554	0.139911
555	0.139696
556	0.138867
557	0.137431
558	0.135393
559	0.132766
560	0.129564
561	0.125802
562	0.121501
563	0.116684
564	0.111374
565	0.105598
566	0.099386
567	0.092768
568	0.085776
569	0.078444
570	0.070807
571	0.062901
572	0.054761
573	0.046424
574	0.037928
575	0.029310
576	0.020607
577	0.011854
578	0.003089
579	-0.005654
580	-0.014340
581	-0.022936
582	-0.031411
583	-0.039733
584	-0.047873
585	-0.055803
586	-0.063498
587	-0.070932
588	-0.078084
589	-0.084931
590	-0.091455
591	-0.097639
592	-0.103466
593	-0.108923
594	-0.113997
595	-0.118678
596	-0.122957
597	-0.126826
598	-0.130279
599	-0.133311
600	-0.135920
601	-0.138103
602	-0.139859
603	-0.141188
604	-0.142091
605	-0.142570
606	-0.142628
607	-0.142267
608	-0.141493
609	-0.140309
610	-0.138721
611	-0.136733
612	-0.134353
613	-0.131586
614	-0.128439
615	-0.124919
616	-0.121032
617	-0.116788
618	-0.112192
619	-0.107255
620	-0.101984
621	-0.096388
622	-0.090477
623	-0.084262
624	-0.077751
625	-0.070957
626	-0.063892
627	-0.056568
628	-0.048998
629	-0.041197
630	-0.033180
631	-0.024964
632	-0.016565
633	-0.008003
634	0.000703
635	0.009533
636	0.018462
637	0.027470
638	0.036529
639	0.045616
640	0.054701
641	0.063757
642	0.072754
643	0.081660
644	0.090444
645	0.099073
646	0.107514
647	0.115730
648	0.123688
649	0.131351
650	0.138684
651	0.145650
652	0.152214
653	0.158340
654	0.163992
655	0.169136
656	0.173738
657	0.177767
658	0.181190
659	0.183979
660	0.186106
661	0.187546
662	0.188276
663	0.188276
664	0.187528
665	0.186018
666	0.183735
667	0.180670
668	0.176821
669	0.172185
670	0.166768
671	0.160576
672	0.153621
673	0.145918
674	0.137489
675	0.128356
676	0.118549
677	0.108099
678	0.097043
679	0.085423
680	0.073281
681	0.060667
682	0.047632
683	0.034231
684	0.020521
685	0.006565
686	-0.007577
687	-0.021837
688	-0.036149
689	-0.050443
690	-0.064651
691	-0.078702
692	-0.092524
693	-0.106048
694	-0.119202
695	-0.131918
696	-0.144127
697	-0.155764
698	-0.166764
699	-0.177066
700	-0.186613
701	-0.195348
702	-0.203221
703	-0.210185
704	-0.216197
705	-0.221220
706	-0.225221
707	-0.228173
708	-0.230054
709	-0.230848
710	-0.230545
711	-0.229141
712	-0.226638
713	-0.223043
714	-0.218373
715	-0.212645
716	-0.205888
717	-0.198134
718	-0.189421
719	-0.179792
720	-0.169296
721	-0.157989
722	-0.145928
723	-0.133177
724	-0.119805
725	-0.105881
726	-0.091480
727	-0.076681
728	-0.061561
729	-0.046204
730	-0.030692
731	-0.015108
732	0.000462
733	0.015936
734	0.031229
735	0.046260
736	0.060948
737	0.075215
738	0.088986
739	0.102187
740	0.114751
741	0.126612
742	0.137711
743	0.147991
744	0.157404
745	0.165903
746	0.173450
747	0.180012
748	0.185563
749	0.190080
750	0.193551
751	0.195967
752	0.197328
753	0.197638
754	0.196910
755	0.195161
756	0.192416
757	0.188704
758	0.184061
759	0.178529
760	0.172154
761	0.164987
762	0.157083
763	0.148503
764	0.139308
765	0.129567
766	0.119346
767	0.108718
768	0.097755
769	0.086531
770	0.075120
771	0.063597
772	0.052036
773	0.040511
774	0.029092
775	0.017850
776	0.006853
777	-0.003836
778	-0.014153
779	-0.024042
780	-0.033449
781	-0.042324
782	-0.050623
783	-0.058306
784	-0.065337
785	-0.071688
786	-0.077335
787	-0.082260
788	-0.086450
789	-0.089898
790	-0.092603
791	-0.094569
792	-0.095807
793	-0.096332
794	-0.096164
795	-0.095329
796	-0.093856
797	-0.091781
798	-0.089142
799	-0.085982
800	-0.082345
801	-0.078282
802	-0.073842
803	-0.069079
804	-0.064049
805	-0.058807
806	-0.053409
807	-0.047914
808	-0.042378
809	-0.036856
810	-0.031405
811	-0.026077
812	-0.020923
813	-0.015993
814	-0.011332
815	-0.006984
816	-0.002988
817	0.000620
818	0.003810
819	0.006553
820	0.008828
821	0.010615
822	0.011903
823	0.012683
824	0.012951
825	0.012710
826	0.011966
827	0.010730
828	0.009019
829	0.006854
830	0.004259
831	0.001265
832	-0.002095
833	-0.005784
834	-0.009763
835	-0.013987
836	-0.018410
837	-0.022985
838	-0.027662
839	-0.032389
840	-0.037113
841	-0.041783
842	-0.046344
843	-0.050745
844	-0.054933
845	-0.058859
846	-0.062472
847	-0.065727
848	-0.068579
849	-0.070986
850	-0.072910
851	-0.074318
852	-0.075176
853	-0.075460
854	-0.075147
855	-0.074218
856	-0.072661
857	-0.070468
858	-0.067635
859	-0.064165
860	-0.060065
861	-0.055346
862	-0.050025
863	-0.044126
864	-0.037673
865	-0.030700
866	-0.023242
867	-0.015338
868	-0.007033
869	0.001626
870	0.010588
871	0.019799
872	0.029202
873	0.038739
874	0.048351
875	0.057974
876	0.067547
877	0.077007
878	0.086290
879	0.095333
880	0.104076
881	0.112457
882	0.120417
883	0.127901
884	0.134853
885	0.141223
886	0.146963
887	0.152028
888	0.156379
889	0.159979
890	0.162796
891	0.164804
892	0.165980
893	0.166308
894	0.165776
895	0.164377
896	0.162111
897	0.158980
898	0.154995
899	0.150171
900	0.144526
901	0.138086
902	0.130880
903	0.122943
904	0.114313
905	0.105034
906	0.095151
907	0.084716
908	0.073782
909	0.062405
910	0.050644
911	0.038562
912	0.026219
913	0.013682
914	0.001016
915	-0.011715
916	-0.024442
917	-0.037102
918	-0.049628
919	-0.061956
920	-0.074024
921	-0.085770
922	-0.097136
923	-0.108065
924	-0.118503
925	-0.128400
926	-0.137709
927	-0.146386
928	-0.154390
929	-0.161686
930	-0.168242
931	-0.174030
932	-0.179027
933	-0.183214
934	-0.186576
935	-0.189104
936	-0.190792
937	-0.191639
938	-0.191648
939	-0.190827
940	-0.189187
941	-0.186744
942	-0.183517
943	-0.179529
944	-0.174806
945	-0.169378
946	-0.163278
947	-0.156541
948	-0.149204
949	-0.141308
950	-0.132893
951	-0.124004
952	-0.114684
953	-0.104981
954	-0.094940
955	-0.084608
956	-0.074033
957	-0.063262
958	-0.052343
959	-0.041321
960	-0.030243
961	-0.019154
962	-0.008098
963	0.002883
964	0.013748
965	0.024457
966	0.034972
967	0.045258
968	0.055280
969	0.065006
970	0.074407
971	0.083455
972	0.092123
973	0.100389
974	0.108231
975	0.115630
976	0.122568
977	0.129032
978	0.135007
979	0.140483
980	0.145450
981	0.149901
982	0.153831
983	0.157235
984	0.160110
985	0.162456
986	0.164273
987	0.165563
988	0.166327
989	0.166571
990	0.166298
991	0.165515
992	0.164229
993	0.162446
994	0.160175
995	0.157426
996	0.154207
997	0.150529
998	0.146403
999	0.141841
1000	0.136854
1001	0.131456
1002	0.125659
1003	0.119478
1004	0.112928
1005	0.106023
1006	0.098780
1007	0.091216
1008	0.083347
1009	0.075193
1010	0.066773
1011	0.058107
1012	0.049216
1013	0.040122
1014	0.030848
1015	0.021417
1016	0.011856
1017	0.002190
1018	-0.007554
1019	-0.017347
1020	-0.027162
1021	-0.036967
1022	-0.046731
1023	-0.056423
1024	-0.066011
1025	-0.075461
1026	-0.084738
1027	-0.093810
1028	-0.102641
1029	-0.111196
1030	-0.119440
1031	-0.127338
1032	-0.134856
1033	-0.141959
1034	-0.148613
1035	-0.154787
1036	-0.160447
1037	-0.165563
1038	-0.170106
1039	-0.174049
1040	-0.177365
1041	-0.180032
1042	-0.182026
1043	-0.183330
1044	-0.183928
1045	-0.183804
1046	-0.182950
1047	-0.181357
1048	-0.179021
1049	-0.175941
1050	-0.172121
1051	-0.167566
1052	-0.162287
1053	-0.156297
1054	-0.149614
1055	-0.142259
1056	-0.134257
1057	-0.125637
1058	-0.116430
1059	-0.106674
1060	-0.096406
1061	-0.085670
1062	-0.074510
1063	-0.062975
1064	-0.051117
1065	-0.038987
1066	-0.026643
1067	-0.014140
1068	-0.001539
1069	0.011102
1070	0.023720
1071	0.036255
1072	0.048644
1073	0.060826
1074	0.072740
1075	0.084326
1076	0.095525
1077	0.106279
1078	0.116533
1079	0.126234
1080	0.135332
1081	0.143780
1082	0.151533
1083	0.158552
1084	0.164800
1085	0.170245
1086	0.174859
1087	0.178619
1088	0.181505
1089	0.183506
1090	0.184612
1091	0.184820
1092	0.184132
1093	0.182554
1094	0.180098
1095	0.176783
1096	0.172629
1097	0.167664
1098	0.161921
1099	0.155434
1100	0.148245
1101	0.140399
1102	0.131943
1103	0.122931
1104	0.113417
1105	0.103459
1106	0.093117
1107	0.082454
1108	0.071534
1109	0.060421
1110	0.049183
1111	0.037884
1112	0.026591
1113	0.015370
1114	0.004286
1115	-0.006599
1116	-0.017224
1117	-0.027528
1118	-0.037456
1119	-0.046954
1120	-0.055973
1121	-0.064465
1122	-0.072388
1123	-0.079705
1124	-0.086381
1125	-0.092388
1126	-0.097702
1127	-0.102303
1128	-0.106178
1129	-0.109319
1130	-0.111721
1131	-0.113387
1132	-0.114323
1133	-0.114542
1134	-0.114061
1135	-0.112901
1136	-0.111089
1137	-0.108656
1138	-0.105636
1139	-0.102068
1140	-0.097995
1141	-0.093462
1142	-0.088516
1143	-0.083210
1144	-0.077594
1145	-0.071723
1146	-0.065652
1147	-0.059437
1148	-0.053135
1149	-0.046801
1150	-0.040490
1151	-0.034256
1152	-0.028153
1153	-0.022231
1154	-0.016539
1155	-0.011122
1156	-0.006023
1157	-0.001281
1158	0.003067
1159	0.006991
1160	0.010463
1161	0.013460
1162	0.015964
1163	0.017960
1164	0.019440
1165	0.020401
1166	0.020842
1167	0.020771
1168	0.020197
1169	0.019136
1170	0.017608
1171	0.015638
1172	0.013255
1173	0.010490
1174	0.007382
1175	0.003968
1176	0.000293
1177	-0.003597
1178	-0.007657
1179	-0.011834
1180	-0.016078
1181	-0.020338
1182	-0.024558
1183	-0.028688
1184	-0.032672
1185	-0.036461
1186	-0.040002
1187	-0.043247
1188	-0.046148
1189	-0.048660
1190	-0.050743
1191	-0.052356
1192	-0.053466
1193	-0.054042
1194	-0.054057
1195	-0.053488
1196	-0.052318
1197	-0.050536
1198	-0.048133
1199	-0.045107
1200	-0.041463
1201	-0.037207
1202	-0.032354
1203	-0.026924
1204	-0.020940
1205	-0.014432
1206	-0.007435
1207	0.000013
1208	0.007868
1209	0.016083
1210	0.024606
1211	0.033381
1212	0.042352
1213	0.051457
1214	0.060632
1215	0.069814
1216	0.078936
1217	0.087930
1218	0.096728
1219	0.105265
1220	0.113471
1221	0.121283
1222	0.128635
1223	0.135465
1224	0.141714
1225	0.147325
1226	0.152245
1227	0.156424
1228	0.159819
1229	0.162387
1230	0.164095
1231	0.164912
1232	0.164813
1233	0.163779
1234	0.161798
1235	0.158863
1236	0.154973
1237	0.150134
1238	0.144357
1239	0.137662
1240	0.130072
1241	0.121618
1242	0.112336
1243	0.102268
1244	0.091462
1245	0.079971
1246	0.067851
1247	0.055165
1248	0.041980
1249	0.028365
1250	0.014393
1251	0.000141
1252	-0.014312
1253	-0.028888
1254	-0.043503
1255	-0.058075
1256	-0.072523
1257	-0.086762
1258	-0.100711
1259	-0.114290
1260	-0.127421
1261	-0.140025
1262	-0.152031
1263	-0.163368
1264	-0.173968
1265	-0.183770
1266	-0.192715
1267	-0.200750
1268	-0.207827
1269	-0.213905
1270	-0.218946
1271	-0.222919
1272	-0.225800
1273	-0.227571
1274	-0.228220
1275	-0.227742
1276	-0.226138
1277	-0.223415
1278	-0.219588
1279	-0.214676
1280	-0.208705
1281	-0.201709
1282	-0.193726
1283	-0.184797
