T	S1
0	0.225837
1	0.215649
2	0.204386
3	0.192109
4	0.178886
5	0.164788
6	0.149892
7	0.134281
8	0.118040
9	0.101257
10	0.084025
11	0.066438
12	0.048592
13	0.030583
14	0.012509
15	-0.005533
16	-0.023446
17	-0.041134
18	-0.058505
19	-0.075466
20	-0.091931
21	-0.107813
22	-0.123033
23	-0.137514
24	-0.151185
25	-0.163979
26	-0.175836
27	-0.186702
28	-0.196528
29	-0.205273
30	-0.212901
31	-0.219385
32	-0.224703
33	-0.228841
34	-0.231792
35	-0.233555
36	-0.234137
37	-0.233552
38	-0.231820
39	-0.228968
40	-0.225027
41	-0.220038
42	-0.214043
43	-0.207092
44	-0.199240
45	-0.190544
46	-0.181069
47	-0.170879
48	-0.160043
49	-0.148634
50	-0.136725
51	-0.124391
52	-0.111708
53	-0.098754
54	-0.085604
55	-0.072337
56	-0.059025
57	-0.045745
58	-0.032567
59	-0.019562
60	-0.006796
61	0.005666
62	0.017764
63	0.029442
64	0.040647
65	0.051331
66	0.061449
67	0.070963
68	0.079839
69	0.088048
70	0.095566
71	0.102373
72	0.108456
73	0.113807
74	0.118421
75	0.122300
76	0.125450
77	0.127880
78	0.129606
79	0.130646
80	0.131024
81	0.130765
82	0.129900
83	0.128460
84	0.126481
85	0.124001
86	0.121059
87	0.117695
88	0.113952
89	0.109874
90	0.105502
91	0.100882
92	0.096057
93	0.218122
94	0.218357
95	0.213736
96	0.204277
97	0.190171
98	0.171772
99	0.149590
100	0.124272
101	0.096577
102	0.067351
103	0.037502
104	0.007958
105	-0.020355
106	-0.046554
107	-0.069827
108	-0.089461
109	-0.104870
110	-0.115613
111	-0.121412
112	-0.122162
113	-0.117933
114	-0.108970
115	-0.095680
116	-0.078624
117	-0.058491
118	-0.036076
119	-0.012254
120	0.012058
121	0.035924
122	0.058431
123	0.078717
124	0.096003
125	0.109619
126	0.119030
127	0.123852
128	0.123869
129	0.119037
130	0.109485
131	0.095515
132	0.077584
133	-0.309842
134	0.368026
135	-0.160005
136	-0.091442
137	0.232809
138	-0.445501
139	0.214616
140	-0.118716
141	-0.137136
142	-0.151716
143	-0.162006
144	-0.167710
145	-0.168701
146	-0.165022
147	-0.156889
148	-0.144677
149	-0.128907
150	-0.110233
151	-0.089409
152	-0.067266
153	-0.044683
154	-0.022549
155	-0.001738
156	0.016931
157	0.032719
158	0.044996
159	0.053264
160	0.057175
161	0.056546
162	0.051363
163	0.041787
164	0.028142
165	0.010909
166	-0.009294
167	-0.031730
168	-0.055575
169	-0.079944
170	-0.103923
171	-0.126602
172	-0.147108
173	-0.164639
174	-0.178486
175	-0.188069
176	-0.192947
177	-0.192845
178	-0.187654
179	-1.018635
180	-0.985097
181	-0.506730
