T	S1
0	0.261630
1	0.258052
2	0.253184
3	0.247054
4	0.239695
5	0.231149
6	0.221464
7	0.210694
8	0.198899
9	0.186146
10	0.172506
11	0.158056
12	0.142876
13	0.127051
14	0.110670
15	0.093822
16	0.076601
17	0.059102
18	0.041420
19	0.023651
20	0.033344
21	0.046614
22	0.057216
23	0.063862
24	0.065474
25	0.061233
26	0.050630
27	0.033490
28	0.009987
29	-0.019363
30	-0.053725
31	-0.091982
32	-0.132786
33	-0.174624
34	-0.215891
35	-0.254962
36	-0.290277
37	-0.320412
38	-0.344150
39	-0.360536
40	-0.368931
41	-0.369036
42	-0.360911
43	-0.344971
44	-0.321969
45	-0.292953
46	-0.259225
47	-0.222272
48	-0.183697
49	-0.145141
50	-0.108209
51	-0.074385
52	-0.044970
53	-0.021016
54	-0.003280
55	0.007814
56	0.012191
57	0.010122
58	0.002216
59	-0.010623
60	-0.027234
61	-0.046266
62	-0.066246
63	-0.085651
64	-0.102989
65	-0.116874
66	-0.126098
67	-0.129692
68	-0.126975
69	-0.117591
70	-0.101530
71	-0.079127
72	-0.051050
73	-0.018270
74	0.017990
75	0.056309
76	0.095138
77	0.132879
78	0.167956
79	0.198898
80	0.224409
81	0.243430
82	0.255193
83	0.259259
84	0.255539
85	0.244300
86	0.226153
87	0.202022
88	0.173102
89	0.140799
90	0.106665
91	0.072321
92	0.039381
93	0.009370
94	-0.016343
95	-0.036617
96	-0.050589
97	-0.057717
98	-0.057804
99	-0.051008
100	-0.037827
101	-0.019083
102	0.004131
103	0.030497
104	0.058544
105	0.086719
106	0.113463
107	0.137292
108	0.156870
109	0.171072
110	0.179044
111	0.180245
112	0.174471
113	0.161870
114	0.142931
115	0.118462
116	0.089550
117	0.057508
118	0.023809
119	-0.009984
120	-0.042300
121	-0.071631
122	-0.096612
123	-0.116086
124	-0.129163
125	-0.135263
126	-0.134144
127	-0.125920
128	-0.111049
129	-0.090316
130	-0.064794
131	-0.035793
132	-0.004792
133	0.026625
134	0.056855
135	0.084348
136	0.107685
137	0.125646
138	0.137271
139	0.141907
140	0.139237
141	0.129299
142	0.112481
143	0.089503
144	0.061384
145	0.029388
146	-0.005035
147	-0.040322
