T	S1
0	0.211731
1	0.200141
2	0.187554
3	0.174038
4	0.159667
5	0.144519
6	0.128678
7	0.112228
8	0.095261
9	0.077869
10	0.060146
11	0.042189
12	0.024095
13	0.005962
14	-0.012113
15	-0.030033
16	-0.047702
17	-0.065027
18	-0.081918
19	-0.098286
20	-0.114048
21	-0.129123
22	-0.143436
23	-0.156916
24	-0.169498
25	-0.181122
26	-0.191735
27	-0.201290
28	-0.209747
29	-0.217071
30	-0.223236
31	-0.228222
32	-0.232016
33	-0.234613
34	-0.236014
35	-0.236227
36	-0.235267
37	-0.233156
38	-0.229922
39	-0.225599
40	-0.220228
41	-0.213854
42	-0.206528
43	-0.198305
44	-0.189247
45	-0.179416
46	-0.168880
47	-0.157709
48	-0.145977
49	-0.133759
50	-0.121129
51	-0.108167
52	-0.094948
53	-0.081552
54	-0.068056
55	-0.054534
56	-0.041063
57	-0.027714
58	-0.014557
59	-0.001660
60	0.010912
61	0.023100
62	0.034847
63	0.046099
64	0.056810
65	0.066935
66	0.076435
67	0.085278
68	0.093434
69	0.100880
70	0.107597
71	0.113573
72	0.118799
73	0.123272
74	0.126995
75	0.129974
76	0.132220
77	0.133749
78	0.134580
79	0.134739
80	0.134251
81	0.133148
82	0.131463
83	0.129232
84	0.126495
85	0.123290
86	0.119662
87	0.115651
88	0.111304
89	0.106663
90	0.101775
91	0.096682
92	0.091429
93	0.086058
94	0.080612
95	0.075130
96	0.069650
97	0.064209
98	0.058841
99	0.053577
100	-0.242252
101	0.176732
102	0.241136
103	-0.233230
104	0.004289
105	0.309753
106	-0.141043
107	-0.158350
108	0.294217
109	0.002826
110	-0.265113
111	0.196055
112	0.151633
113	-0.286447
114	0.042368
115	0.257608
116	-0.218276
117	-0.122407
118	0.286454
119	-0.083271
120	-0.250036
121	0.227710
122	0.075975
123	-0.303222
124	0.097840
125	0.209783
126	-0.267039
127	-0.064877
128	-0.380475
129	-0.421413
130	0.298319
131	0.801314
132	-0.209816
133	-0.962660
134	-0.001280
135	0.730240
136	0.164302
137	-0.332031
138	-0.399401
139	-0.251157
140	0.458473
141	0.630466
142	-0.509339
143	-0.897953
144	0.275634
145	0.727122
146	-0.072125
147	-0.476053
148	-0.356024
149	-0.077666
150	0.529179
151	0.382917
152	-0.756619
153	-0.744023
154	0.521181
155	0.622704
156	-0.332496
157	-0.555902
158	-0.250607
159	0.081330
160	0.517154
161	0.105304
162	-0.909729
163	-0.504349
164	0.720012
165	0.441611
166	-0.564445
167	-0.538830
168	-0.084733
169	0.218054
170	0.446252
171	-0.148988
172	-0.936723
173	-0.192292
174	0.861439
175	0.216710
176	-0.721749
177	-0.411001
178	0.124554
179	0.321431
180	0.339680
181	-0.340932
182	-0.833098
183	0.157778
184	0.928776
185	-0.026282
186	-0.781040
187	-0.188921
188	0.339121
189	0.371608
190	0.210606
191	-0.455771
192	-0.625606
193	0.492776
194	0.900714
195	-0.271641
196	-0.743534
197	0.085488
198	0.509315
199	0.347854
200	0.066284
201	-0.497638
202	-0.360281
203	0.756856
204	0.763969
205	-0.505185
206	-0.624215
207	0.361789
208	0.592668
209	0.243125
210	-0.081334
211	-0.476912
212	-0.084307
213	0.910222
214	0.526292
215	-0.705347
216	-0.439961
217	0.597316
218	0.568745
219	0.072811
220	-0.210418
221	-0.402400
222	0.165632
223	0.938425
224	0.218669
225	-0.843899
226	-0.206520
227	0.762973
228	0.441145
229	-0.129674
230	-0.295498
231	-0.283832
232	0.363497
233	0.848403
234	-0.115126
235	-0.896750
236	0.055717
237	0.839199
238	0.228783
239	-0.326484
240	-0.319997
241	-0.139225
242	0.488371
243	0.658436
244	-0.432881
245	-0.855465
246	0.316381
247	0.811485
248	-0.043181
249	-0.486807
250	-0.283761
251	0.003496
252	0.523679
253	0.392899
254	-0.701040
255	-0.729003
256	0.539452
257	0.674036
258	-0.344152
259	-0.587905
260	-0.198566
261	0.116019
262	0.465532
263	0.085921
264	-0.891101
265	-0.533982
266	0.697128
267	0.440496
268	-0.632118
269	-0.608155
270	-0.075815
271	0.184406
272	0.333594
273	-0.212942
274	-0.973103
275	-0.282830
276	0.782625
277	0.150897
278	-0.851619
279	-0.523403
280	0.081148
281	0.216078
282	0.171827
283	-0.442962
284	-0.918210
285	0.017629
286	0.809472
287	-0.136434
288	-0.945741
289	-0.316311
290	0.270528
291	0.230306
292	0.032171
293	-0.551818
