T	S1
0	0.264493
1	0.262694
2	0.259581
3	0.255173
4	0.249494
5	0.242576
6	0.234459
7	0.225188
8	0.214816
9	0.203403
10	0.191012
11	0.177713
12	0.163582
13	0.148699
14	0.133145
15	0.117010
16	0.100381
17	0.083352
18	0.066016
19	0.048469
20	0.030805
21	0.013122
22	-0.004486
23	-0.021926
24	-0.039104
25	-0.055932
26	-0.072321
27	-0.088188
28	-0.103454
29	-0.118042
30	-0.131881
31	-0.144906
32	-0.157057
33	-0.168278
34	-0.178521
35	-0.187744
36	-0.195912
37	-0.202994
38	-0.208969
39	-0.213821
40	-0.217541
41	-0.220127
42	-0.221583
43	-0.221921
44	-0.221159
45	-0.219319
46	-0.216432
47	-0.212533
48	-0.207663
49	-0.201868
50	-0.195197
51	-0.187705
52	-0.179451
53	-0.170496
54	-0.160905
55	-0.150745
56	-0.140085
57	-0.128996
58	-0.117549
59	-0.105815
60	-0.093867
61	-0.081777
62	-0.069614
63	-0.057449
64	-0.045348
65	-0.033377
66	-0.021598
67	-0.010070
68	0.001149
69	0.012006
70	0.022454
71	0.032447
72	0.041944
73	0.050910
74	0.059313
75	0.067126
76	0.074327
77	0.080899
78	0.086828
79	0.092108
80	0.096735
81	0.100709
82	0.104038
83	0.106730
84	0.108798
85	0.110262
86	0.111141
87	0.111459
88	0.111244
89	0.110526
90	0.109336
91	0.107709
92	0.105680
93	0.103286
94	0.100565
95	0.097555
96	0.094296
97	0.090825
98	0.087181
99	0.083402
100	0.079525
101	0.075584
102	0.071614
103	0.067646
104	0.063712
105	0.151978
106	0.115573
107	0.075730
108	0.034624
109	-0.005489
110	-0.042404
111	-0.074104
112	-0.098871
113	-0.115395
114	-0.122847
115	0.277247
116	0.704121
117	0.757249
118	0.419505
119	-0.139879
120	-0.645433
121	-0.845568
122	-0.631556
123	-0.089493
124	0.539221
125	0.970371
126	1.009643
127	0.643315
128	0.044388
129	-0.508710
130	-0.762678
131	-0.607884
132	-0.129281
133	0.434168
134	0.802472
135	0.786926
136	0.379589
137	-0.242118
138	-0.797903
139	-1.035520
140	-0.848694
141	-0.326737
142	0.287414
143	0.711048
144	0.753984
145	0.407255
146	-0.153412
147	-0.650925
148	-0.837781
149	-0.613147
150	-0.071049
151	0.542999
152	0.946619
153	0.952666
154	0.556852
155	-0.060251
156	-0.617736
157	-0.865781
158	-0.702286
159	-0.220030
160	0.337748
161	0.692437
162	0.661748
163	0.246134
164	-0.370662
165	-0.907246
166	-1.116229
167	-0.900138
168	-0.357185
169	0.264596
170	0.683312
171	0.714901
172	0.358748
173	-0.202888
174	-0.691335
175	-0.863203
176	-0.625464
177	-0.079833
178	0.524400
179	0.907008
180	0.888193
181	0.473034
182	-0.150613
183	-0.699809
184	-0.928674
185	-0.743010
186	-0.243632
187	0.321854
188	0.676162
189	0.643286
190	0.231804
191	-0.368621
192	-0.875934
193	-1.047958
194	-0.796175
195	-0.227603
196	0.404907
197	0.820651
198	0.842006
199	0.476889
200	-0.085880
201	-0.566107
202	-0.724549
203	-0.475896
204	0.070675
205	0.662428
206	1.021599
207	0.975898
208	0.539721
209	-0.092066
210	-0.634882
211	-0.847183
212	-0.642934
213	-0.131079
214	0.436469
215	0.783856
216	0.741408
217	0.325748
218	-0.267737
219	-0.756555
220	-0.903870
221	-0.630054
222	-0.050631
223	0.577210
224	0.974487
225	0.970468
226	0.581892
227	0.004247
228	-0.480751
229	-0.638009
230	-0.389839
231	0.147340
232	0.717640
233	1.046013
234	0.967772
235	0.506498
236	-0.136277
237	-0.674800
238	-0.872311
239	-0.651252
240	-0.128825
241	0.438775
242	0.777198
243	0.723120
244	0.301103
245	-0.287966
246	-0.761405
247	-0.887874
248	-0.596592
249	-0.011336
250	0.606785
251	0.980966
252	0.947722
253	0.532780
254	-0.061721
255	-0.552680
256	-0.709286
257	-0.461513
258	0.067069
259	0.617580
260	0.917825
261	0.810711
262	0.328781
263	-0.320174
264	-0.849722
265	-1.028326
266	-0.787186
267	-0.251821
268	0.317397
269	0.647801
270	0.582553
271	0.154167
272	-0.431051
273	-0.890335
274	-0.997852
275	-0.691491
276	-0.102894
277	0.503435
278	0.853401
279	0.791184
280	0.351711
281	-0.256227
282	-0.748263
283	-0.897998
284	-0.643111
285	-0.114243
286	0.426884
287	0.711035
288	0.588675
289	0.101069
290	-0.538155
291	-1.042380
292	-1.185732
293	-0.908425
294	-0.344345
295	0.242079
296	0.580042
297	0.519303
298	0.100320
299	-0.465314
300	-0.138230
301	-0.092762
302	-0.048442
