T	S1
0	0.168425
1	0.153803
2	0.138417
3	0.122351
4	0.105691
5	0.088527
6	0.070953
7	0.053063
8	0.034955
9	0.016726
10	-0.001525
11	-0.019700
12	-0.037703
13	-0.055436
14	-0.072807
15	-0.089724
16	-0.106099
17	-0.121846
18	-0.136886
19	-0.151142
20	-0.164543
21	-0.177024
22	-0.188524
23	-0.198991
24	-0.208377
25	-0.216641
26	-0.223749
27	-0.229675
28	-0.234399
29	-0.237908
30	-0.240197
31	-0.241268
32	-0.241129
33	-0.239796
34	-0.237292
35	-0.233645
36	-0.228891
37	-0.223070
38	-0.216231
39	-0.208425
40	-0.199709
41	-0.190144
42	-0.179797
43	-0.168737
44	-0.157035
45	-0.144766
46	-0.132008
47	-0.118838
48	-0.105337
49	-0.091583
50	-0.077658
51	-0.063640
52	-0.049607
53	-0.035637
54	-0.021803
55	-0.008180
56	0.005164
57	0.018163
58	0.030754
59	0.042877
60	0.054479
61	0.065510
62	0.075923
63	0.085680
64	0.094745
65	0.103087
66	0.110682
67	0.117511
68	0.123560
69	0.128820
70	0.133287
71	0.136964
72	0.139856
73	0.011544
74	0.005122
75	0.003132
76	0.005696
77	0.012745
78	0.024016
79	0.039072
80	0.057308
81	0.077987
82	0.100259
83	0.123197
84	0.145837
85	0.167209
86	0.186377
87	0.202478
88	0.214753
89	0.222576
90	0.225482
91	0.223181
92	0.215578
93	0.202767
94	0.185040
95	0.162868
96	0.136890
97	0.107891
98	0.076768
99	0.044502
100	0.012122
101	-0.019336
102	-0.048862
103	-0.075514
104	-0.098450
105	-0.116960
106	-0.130492
107	-0.138673
108	-0.141322
109	-0.138455
110	-0.130290
111	-0.117234
112	-0.099868
113	-0.078928
114	-0.055279
115	-0.029876
116	-0.003738
117	0.022097
118	0.046605
119	0.068819
120	0.087860
121	0.102972
122	0.113546
123	0.119150
124	0.119536
125	0.114652
126	0.104645
127	0.089854
128	0.070796
129	0.048147
130	0.022714
131	-0.004590
132	-0.032786
133	-0.060864
134	-0.087820
135	-0.112694
136	-0.134608
137	-0.152795
138	-0.166631
139	-0.175658
140	-0.179598
141	-0.178366
142	-0.172074
143	-0.161021
144	-0.145688
145	-0.126715
146	-0.104878
147	-0.081061
148	-0.056220
149	-0.031347
150	-0.007435
151	0.014562
152	0.033768
153	0.049412
154	0.060862
155	0.067647
156	0.069478
157	0.066257
158	0.058081
159	0.045240
160	0.028207
161	0.007618
162	-0.015746
163	-0.040995
164	-0.067158
165	-0.093218
166	-0.118157
167	-0.140984
168	-0.160782
169	-0.176735
170	-0.188161
171	-0.194540
172	-0.195529
173	-0.190979
174	-0.180940
175	-0.165658
176	-0.145568
177	-0.121278
178	-0.093544
179	-0.063248
180	-0.031360
181	0.001094
182	0.876381
183	0.951760
184	0.587015
185	-0.025188
186	-0.571760
187	-0.773808
188	-0.524325
189	0.058889
190	0.691171
191	1.061245
192	0.984681
193	0.494932
194	-0.172905
195	-0.697627
196	-0.829820
197	-0.514346
198	0.082932
199	0.657339
200	0.915963
201	0.722423
202	0.164454
203	-0.488982
204	-0.919962
205	-0.918058
206	-0.483922
207	0.171062
208	0.728871
209	0.921394
210	0.662312
211	0.089326
212	-0.504060
213	-0.813578
214	-0.674568
215	-0.143570
216	0.529077
217	1.022156
218	1.101449
219	0.734805
220	0.107693
221	-0.468394
222	-0.709554
223	-0.499404
224	0.053620
225	0.669838
226	1.036360
227	0.961558
228	0.469855
229	-0.209904
230	-0.756765
231	-0.915355
232	-0.621252
233	-0.032276
234	0.549687
235	0.827811
236	0.656897
237	0.115150
