T	S1
0	0.161029
1	0.146018
2	0.130283
3	0.113907
4	0.096981
5	0.079594
6	0.061843
7	0.043822
8	0.025629
9	0.007362
10	-0.010880
11	-0.029000
12	-0.046901
13	-0.064488
14	-0.081667
15	-0.098350
16	-0.114448
17	-0.129879
18	-0.144564
19	-0.158430
20	-0.171407
21	-0.183433
22	-0.194451
23	-0.204410
24	-0.213264
25	-0.110974
26	-0.092776
27	-0.076990
28	-0.064164
29	-0.054743
30	-0.049055
31	-0.047303
32	-0.049559
33	-0.055760
34	-0.065715
35	-0.079108
36	-0.095504
37	-0.114367
38	-0.135071
39	-0.156920
40	-0.179167
41	-0.201033
42	-0.221734
43	-0.240497
44	-0.256589
45	-0.269332
46	-0.278126
47	-0.282467
48	-0.281958
49	-0.276328
50	-0.265434
51	-0.249270
52	-0.227971
53	-0.201805
54	-0.171173
55	-0.136596
56	-0.098704
57	-0.058222
58	-0.015951
59	0.027255
60	0.070505
61	0.112899
62	0.153548
63	0.191597
64	0.226250
65	0.256784
66	0.282576
67	0.303113
68	0.318006
69	0.327003
70	0.329994
71	0.327012
72	0.318234
73	0.303976
74	0.284686
75	0.260927
76	0.233371
77	0.202772
78	0.169953
79	0.135782
80	0.101150
81	0.066947
82	0.034038
83	0.003245
84	-0.024679
85	-0.049067
86	-0.069356
87	-0.085100
88	-0.095982
89	-0.101820
90	-0.102575
91	-0.098344
92	-0.089366
93	-0.076004
94	-0.058746
95	-0.038180
96	-0.014985
97	0.010089
98	0.036246
99	0.062660
100	0.088502
101	0.112962
102	0.135269
103	0.154713
104	0.170666
105	0.182598
106	0.190090
107	0.192849
108	0.190710
109	0.183647
110	0.171769
111	0.155321
112	0.134673
113	0.110313
114	0.082831
115	0.052909
116	0.021293
117	-0.011217
118	-0.043797
119	-0.075618
120	-0.105865
121	-0.133767
122	-0.158612
123	-0.179768
124	-0.196700
125	-0.208986
126	-0.216327
127	-0.218556
128	-0.215644
129	-0.207697
130	-0.194960
131	-0.177802
132	-0.156717
133	-0.132299
134	-0.105237
135	-0.076289
136	-0.046266
137	-0.016009
138	0.013636
139	0.041834
140	0.067792
141	0.090774
142	0.110124
143	0.125282
144	0.135801
145	0.141358
146	0.141763
147	0.136965
148	0.127053
149	0.112256
150	0.092932
151	0.069566
152	0.042753
153	0.013181
154	-0.018382
155	-0.051113
156	-0.084154
157	-0.116632
158	-0.147686
159	-0.176488
160	-0.202266
161	-0.224322
162	-0.242052
163	-0.254963
164	-1.109219
165	-1.138490
166	-0.707237
167	-0.038450
168	0.523867
169	0.693795
170	0.392272
171	-0.211948
172	-0.790470
173	-1.026645
174	-0.780870
175	-0.163712
176	0.521272
177	0.935217
178	0.880033
179	0.401171
180	-0.236440
181	-0.686755
182	-0.703166
183	-0.267226
184	0.401542
185	0.959851
186	1.119390
187	0.796993
188	0.158029
189	-0.469610
190	-0.766105
191	-0.586047
192	-0.033878
193	0.590859
194	0.949921
195	0.842950
196	0.312248
197	-0.378845
198	-0.882723
199	-0.948197
200	-0.550986
201	0.093935
202	0.644572
