T	S1
0	0.259706
1	0.255398
2	0.249815
3	0.242986
4	0.234950
5	0.225751
6	0.215441
7	0.204078
8	0.191725
9	0.178451
10	0.164330
11	0.149442
12	0.133869
13	0.117698
14	0.101018
15	0.083922
16	0.066503
17	0.048858
18	0.031081
19	0.013270
20	-0.004480
21	-0.022073
22	-0.039417
23	-0.056421
24	-0.072995
25	-0.089056
26	-0.104521
27	-0.119313
28	-0.133360
29	-0.146594
30	-0.158953
31	-0.170380
32	-0.180825
33	-0.190245
34	-0.198600
35	-0.205861
36	-0.212004
37	-0.217010
38	-0.220869
39	-0.223579
40	-0.225141
41	-0.225566
42	-0.224870
43	-0.223076
44	-0.220212
45	-0.216313
46	-0.211419
47	-0.205576
48	-0.198833
49	-0.191244
50	-0.182869
51	-0.173769
52	-0.164009
53	-0.153657
54	-0.142783
55	-0.131458
56	-0.119755
57	-0.107747
58	-0.095507
59	-0.083108
60	-0.214958
61	-0.210415
62	-0.202880
63	-0.192323
64	-0.178773
65	-0.162321
66	-0.143115
67	-0.121363
68	-0.097328
69	-0.071320
70	-0.043696
71	-0.014850
72	0.014794
73	0.044788
74	0.074672
75	0.103978
76	0.132243
77	0.159015
78	0.183865
79	0.206393
80	0.226235
81	0.243073
82	0.256639
83	0.266724
84	0.273175
85	0.275908
86	0.274900
87	0.270197
88	0.261910
89	0.250215
90	0.235347
91	0.217597
92	0.197309
93	0.174870
94	0.150704
95	0.125266
96	0.099028
97	0.072477
98	0.046100
99	0.020380
100	-0.004221
101	-0.027261
102	-0.048335
103	-0.067077
104	-0.083169
105	-0.096347
106	-0.106407
107	-0.113206
108	-0.116667
109	-0.116779
110	-0.113597
111	-0.107241
112	-0.097894
113	-0.085797
114	-0.071244
115	-0.054579
116	-0.036183
117	-0.016473
118	0.004110
119	0.025110
120	0.046064
121	0.066511
122	0.086002
123	0.104107
124	0.120428
125	0.134600
126	0.146305
127	0.155274
128	0.161291
129	0.164204
130	0.163920
131	0.160410
132	0.153712
133	0.143925
134	0.131210
135	0.115787
136	0.097929
137	0.077956
138	0.056230
139	0.033149
140	0.009135
141	-0.015372
142	-0.039924
143	-0.064070
144	-0.087371
145	-0.109406
146	-0.129777
147	-0.148124
148	-0.164124
149	-0.177506
150	-0.188048
151	-0.195587
152	-0.200018
153	-0.201301
154	-0.199454
155	-0.194562
156	-0.186766
157	-0.176266
158	-0.163313
159	-0.148208
160	-0.131289
161	-0.112932
162	-0.093537
163	-0.073522
164	-0.053316
165	-0.033346
166	-0.014033
167	0.004219
168	0.021032
169	0.036062
170	-0.899784
171	-0.554653
172	0.035815
173	0.636412
174	1.006805
175	0.998498
176	0.614745
177	0.009248
178	-0.575834
179	-0.907566
180	-0.856158
181	-0.447253
182	0.148543
183	0.684642
184	0.938136
185	0.799912
186	0.318849
187	-0.317745
188	-0.859563
189	-1.094155
190	-0.932511
191	-0.444845
192	0.167879
193	0.655162
194	0.818167
195	0.590040
196	0.062949
197	-0.549085
198	-0.996548
199	-1.095149
200	-0.800234
201	-0.224871
202	0.405698
203	0.844855
204	0.924008
205	0.620493
206	0.066567
207	-0.504132
208	-0.851049
209	-0.823967
210	-0.423810
211	0.197559
212	0.798458
213	1.144766
214	1.104265
215	0.699869
216	0.100266
217	-0.448251
218	-0.721252
219	-0.606790
220	-0.150601
221	0.462354
222	0.982567
223	1.196729
224	1.013886
225	0.502251
226	-0.138218
227	-0.656379
228	-0.851113
229	-0.652335
230	-0.149110
231	0.446466
232	0.885035
233	0.980784
234	0.686605
235	0.113262
236	-0.515163
237	-0.951572
238	-1.025457
239	-0.711621
240	-0.140273
241	0.455576
242	0.834173
243	0.842594
244	0.478436
245	-0.109256
246	-0.680214
247	-0.999998
248	-0.934730
249	-0.505244
250	0.121173
251	0.698140
252	0.999454
253	0.910203
254	0.472976
255	-0.129498
256	-0.648264
257	-0.868766
258	-0.697591
259	-0.200292
260	0.424947
261	0.927200
262	1.103992
263	0.882965
264	0.351051
265	-0.280611
266	-0.761863
267	-0.904435
268	-0.657856
269	-0.129725
270	0.457828
271	0.857927
272	0.898731
273	0.552953
274	-0.050950
275	-0.680443
276	-1.092564
277	-1.131797
278	-0.792651
279	-0.221696
280	0.341751
281	0.662363
282	0.603914
283	0.184369
284	-0.431264
285	-0.997455
286	-1.287193
287	-1.183575
288	-0.726987
289	-0.098829
290	0.451646
291	0.707847
292	0.573167
293	0.109853
294	-0.486248
295	-0.964872
296	-1.122502
297	-0.884668
298	-0.336177
299	0.312939
300	-0.028960
301	-0.001369
302	0.024867
303	0.049389
304	0.071883
305	0.092081
306	0.109768
307	0.124788
308	0.137040
309	0.146485
310	0.153143
311	0.157094
312	0.158471
313	0.157462
314	0.154300
315	0.149264
316	0.142663
317	0.134837
318	0.126145
319	0.116960
320	0.107656
321	0.098602
322	0.090154
323	0.082648
324	0.076388
325	0.071644
326	0.068642
327	0.067561
328	0.068528
329	0.071614
330	0.076833
331	0.084142
332	0.093437
333	0.104561
334	0.117302
335	0.131401
336	0.146551
337	0.162411
338	0.178605
339	0.194737
340	0.210392
341	0.225152
342	0.238597
343	0.250321
344	0.259937
345	0.267084
346	0.271439
347	0.272723
348	0.270703
349	0.265205
350	0.256114
351	0.243378
352	0.227009
353	0.207089
354	0.183763
355	0.157240
356	0.127794
357	0.095752
358	0.061497
359	0.025454
360	-0.011910
361	-0.050100
362	-0.088598
363	-0.126874
364	-0.164393
365	-0.200629
366	-0.235068
367	-0.267224
368	-0.296642
369	-0.322911
370	-0.345667
371	-0.364603
372	-0.379473
373	-0.390093
374	-0.396353
375	-0.398209
376	-0.395690
377	-0.388892
378	-0.377983
379	-0.363193
380	-0.344812
381	-0.323185
382	-0.298705
383	-0.271803
384	-0.242945
385	-0.212618
386	-0.181325
387	-0.149572
388	-0.117860
389	-0.086679
390	-0.056493
391	-0.027737
392	-0.000807
393	0.023947
394	0.046226
395	0.065788
396	0.082450
397	0.096092
398	0.106657
399	0.114154
400	0.118651
401	0.120277
402	0.119218
403	0.115709
404	0.110033
405	0.102508
406	0.093488
407	0.083345
408	0.072470
409	0.061257
410	0.050101
411	0.039382
412	0.029463
413	0.020681
414	0.013334
415	0.007685
416	0.003946
417	0.002280
418	0.002797
419	0.005549
420	0.164399
421	0.164371
422	0.163457
423	0.161687
424	0.159097
425	0.155726
426	0.151619
427	0.146824
428	0.141392
