T	S1
0	0.251461
1	0.245027
2	0.237371
3	0.228534
4	0.218563
5	0.207515
6	0.195450
7	0.182436
8	0.168544
9	0.153852
10	0.138440
11	0.122395
12	0.105805
13	0.088762
14	0.071358
15	0.053690
16	0.035853
17	0.017944
18	0.000061
19	-0.017702
20	-0.035250
21	-0.052489
22	-0.069331
23	-0.085688
24	-0.101475
25	-0.116615
26	-0.131030
27	-0.144651
28	-0.157413
29	-0.169257
30	-0.180128
31	-0.189980
32	-0.198772
33	-0.206469
34	-0.213044
35	-0.218477
36	-0.222753
37	-0.225866
38	-0.227816
39	-0.228611
40	-0.228263
41	-0.226792
42	-0.224226
43	-0.220596
44	-0.215940
45	-0.210303
46	-0.203731
47	-0.196279
48	-0.188004
49	-0.178968
50	-0.169234
51	-0.158871
52	-0.147948
53	-0.136537
54	-0.124711
55	-0.112545
56	-0.100112
57	-0.087489
58	-0.074748
59	-0.061962
60	-0.049203
61	-0.036541
62	-0.024043
63	-0.011772
64	0.000209
65	0.011842
66	0.023074
67	0.033854
68	0.044136
69	0.053879
70	0.063046
71	0.071605
72	0.079529
73	0.086795
74	0.093386
75	0.099290
76	0.104499
77	0.109011
78	0.112827
79	0.115953
80	0.118402
81	0.120187
82	0.121328
83	0.121847
84	0.121769
85	0.121124
86	0.119944
87	0.118263
88	0.116116
89	0.113541
90	0.110579
91	0.107268
92	0.103651
93	0.099768
94	0.095660
95	0.091369
96	0.086935
97	0.082396
98	0.077791
99	-0.066294
100	-0.049599
101	0.284294
102	0.026602
103	-0.142908
104	0.219022
105	0.129086
106	-0.182406
107	0.110156
108	0.211013
109	-0.160359
110	-0.016029
111	0.247873
112	-0.085243
113	-0.128420
114	0.227418
115	0.020594
116	-0.199290
117	0.152976
118	0.126928
119	-0.211665
120	0.042575
121	-0.119194
122	-0.721134
123	-0.037692
124	0.805807
125	0.186479
126	-0.617902
127	-0.289326
128	0.242095
129	0.363849
130	0.210035
131	-0.388195
132	-0.586086
133	0.337051
134	0.757091
135	-0.210709
136	-0.702692
137	-0.021393
138	0.414701
139	0.261952
140	-0.064301
141	-0.519919
142	-0.319630
143	0.598402
144	0.504649
145	-0.582695
146	-0.608966
147	0.277425
148	0.438371
149	0.028115
150	-0.305975
151	-0.497497
152	-0.014882
153	0.672941
154	0.111616
155	-0.830798
156	-0.355463
157	0.514324
158	0.291820
159	-0.256748
160	-0.432158
161	-0.338276
162	0.242676
163	0.556344
164	-0.306387
165	-0.876507
166	0.004001
167	0.622268
168	0.019112
169	-0.482677
170	-0.390449
171	-0.092792
172	0.394011
173	0.305481
174	-0.623452
175	-0.693773
176	0.385527
177	0.570919
178	-0.292770
179	-0.556249
180	-0.185900
181	0.161483
182	0.412807
183	0.009355
184	-0.750384
185	-0.326991
186	0.689334
187	0.367854
188	-0.548023
189	-0.438618
190	0.113644
191	0.338803
192	0.306506
193	-0.243287
194	-0.663897
195	0.118946
196	0.826717
197	0.056713
198	-0.671016
199	-0.158312
200	0.400679
201	0.374807
202	0.115680
203	-0.386846
204	-0.407258
205	0.514800
206	0.752151
207	-0.287795
208	-0.622627
209	0.203244
210	0.569692
211	0.254466
212	-0.092156
213	-0.390249
214	-0.067930
215	0.752447
216	0.484342
217	-0.573675
218	-0.406242
219	0.541702
220	0.556708
221	0.021850
222	-0.240129
223	-0.261342
224	0.253020
225	0.778384
226	0.102473
227	-0.717309
228	-0.068140
229	0.760072
230	0.358827
231	-0.236378
232	-0.269943
233	-0.046941
234	0.467216
235	0.602912
236	-0.282877
237	-0.674248
238	0.307947
239	0.790892
240	0.029072
241	-0.426394
242	-0.168518
243	0.174981
244	0.517331
245	0.287454
246	-0.569818
247	-0.459751
248	0.617280
249	0.610590
250	-0.344685
251	-0.482966
252	0.022756
253	0.316424
254	0.390049
255	-0.077890
256	-0.696251
257	-0.145119
258	0.764333
259	0.248807
260	-0.663664
261	-0.388133
262	0.224814
263	0.312371
264	0.124403
265	-0.395725
266	-0.649615
267	0.171433
268	0.699348
269	-0.209584
270	-0.837937
271	-0.167893
272	0.356774
273	0.152805
274	-0.190406
275	-0.579417
276	-0.457606
277	0.404779
278	0.443769
279	-0.637709
280	-0.803758
281	0.124069
282	0.371156
283	-0.105207
284	-0.436167
285	-0.571916
286	-0.172617
287	0.511998
288	0.087228
289	-0.900961
290	-0.542522
291	0.421774
292	0.268891
293	-0.357317
294	-0.506858
295	-0.366799
296	0.138845
